# ONE-SIDED regime probabilities (K=2). No look-ahead.
# PRIMARY SERIES — feeds Figure 2 (forecast accuracy), Figure 3
# (rolling hit rate) and Figure 4 (portfolio backtest).
# 
# For each date t: p_t = model_w.predict_proba(x_t), where model_w is
# the most recent fit whose training window ended STRICTLY before t.
# No return dated after t enters p_t.
# 
# Trace-ordered: p_0 = lowest trace(Sigma) = calm, p_1 = high-vol.
# Starts at observation index 1250; shorter than the
# retrospective series by construction (no admissible model exists
# for earlier dates, and they are NOT back-filled).
# 
# Produced by research.analysis.pipeline; window_size=1250, step=63.
# Read with: pd.read_csv(path, index_col=0, parse_dates=True, comment='#')
date,p_0,p_1
2006-01-30,0.9646850175192845,0.03531498248071573
2006-01-31,0.9317175086863015,0.06828249131369957
2006-02-01,0.9579947646659879,0.04200523533401171
2006-02-02,0.9473174354915166,0.05268256450848503
2006-02-03,0.9190233704386473,0.08097662956135233
2006-02-06,0.9179352357493961,0.08206476425060519
2006-02-07,0.36594170293835465,0.6340582970616465
2006-02-08,0.966609066734921,0.03339093326507797
2006-02-09,0.9648526793657968,0.03514732063420257
2006-02-10,0.9477118741700022,0.05228812582999627
2006-02-13,0.9499119159160897,0.050088084083910904
2006-02-14,0.9394267870028263,0.06057321299717396
2006-02-15,0.9512042224193776,0.04879577758062229
2006-02-16,0.9466688333035372,0.0533311666964628
2006-02-17,0.9662361396323611,0.033763860367639044
2006-02-21,0.9720339260350656,0.02796607396493464
2006-02-22,0.9644853108008106,0.035514689199187786
2006-02-23,0.8644626036520002,0.13553739634799972
2006-02-24,0.9505945682802198,0.04940543171978066
2006-02-27,0.9228805656404319,0.07711943435956922
2006-02-28,0.8726757829219514,0.12732421707804864
2006-03-01,0.9508351149976096,0.0491648850023913
2006-03-02,0.9571065213528711,0.04289347864712964
2006-03-03,0.9585283525058642,0.041471647494135934
2006-03-06,0.9479006552249029,0.052099344775098505
2006-03-07,0.9304804616598159,0.06951953834018389
2006-03-08,0.9561813040064605,0.04381869599353862
2006-03-09,0.9439657349067716,0.05603426509322998
2006-03-10,0.8783192766665853,0.1216807233334146
2006-03-13,0.9583906147469915,0.04160938525300805
