,horizon_days,n_forecasts,modal_ar_order,mean_ar_order,brier_change,brier_baseline,brier_rw,brier_skill_change_vs_rw,brier_skill_baseline_vs_rw,mse_change,mse_baseline,mse_rw,auc_change,auc_baseline,auc_rw,logloss_change,logloss_baseline,logloss_rw,hit_rate_change,hit_rate_baseline,hit_rate_rw,hit_rate_always_calm,hit_gain_change_vs_always_calm,highvol_change,highvol_baseline,highvol_rw,dm_stat_vs_rw,dm_pvalue_vs_rw,change_better_than_rw,dm_stat_vs_baseline,dm_pvalue_vs_baseline,change_better_than_baseline
1,1,4748,5,4.982308340353833,0.11645549442967444,0.11103956892744757,0.14284047562921667,0.18471641937143923,0.22263232155791368,0.08286609010348507,0.07856780735850281,0.10772385045690491,0.7957161908489343,0.7953146630137782,0.7293633536996369,0.4328158030197236,0.39914976927600787,0.644183710876892,0.8481465880370682,0.8563605728727886,0.8264532434709352,0.8572030328559394,-0.009056444818871134,0.4218289085545723,0.3466076696165192,0.39233038348082594,-9.005681940233375,0.0,True,4.754054092221187,1.9937765647348726e-06,False
5,5,4748,5,4.982308340353833,0.1307573809824283,0.11675830974300694,0.15537708781336473,0.15845133396057098,0.248548731436811,0.09471796016209505,0.08346497629152755,0.12049624247674062,0.7577042699732993,0.7518566871684358,0.6953603361165694,0.4898376187670291,0.41012132347211666,0.7142514285860562,0.8327716933445661,0.8540438079191238,0.8127632687447346,0.8569924178601517,-0.024220724515585546,0.36818851251840945,0.2812960235640648,0.3446244477172312,-10.19132299752892,0.0,True,7.5918450811844735,3.1530333899354446e-14,False
21,21,4748,5,4.982308340353833,0.135806626367778,0.1169488208518531,0.15808122957931256,0.14090605994659822,0.26019793012061876,0.09995420132671408,0.0841181529646262,0.12208713321979359,0.7485928406282388,0.704753466257891,0.7017789712479978,0.542868822287337,0.39547250849410326,0.7464195208936786,0.8283487784330245,0.8582561078348778,0.8074978938500421,0.8572030328559394,-0.028854254422914893,0.3613569321533923,0.13126843657817108,0.32595870206489674,-6.315389660319703,2.694815481874002e-10,True,3.162688035085289,0.0015631974707874807,False
