asset,R0_n,R0_mean,R0_vol,R0_VaR5,R0_ES5,R0_Q5,R0_Q10,R0_Q25,R1_n,R1_mean,R1_vol,R1_VaR5,R1_ES5,R1_Q5,R1_Q10,R1_Q25
commodities,5439,0.0004954923604908266,0.008479110745768218,-0.013494127575958447,-0.017930184867713715,-0.013494127575958447,-0.00984954139309675,-0.00481134317604992,788,-0.002971608911751114,0.01743254136932229,-0.034224034270579295,-0.04204997831132808,-0.034224034270579295,-0.025215223468997027,-0.013636138636309525
gold,5439,0.0006167130567955811,0.019207559323044,-0.03132068157050902,-0.03935850815091275,-0.03132068157050902,-0.023681017549333026,-0.011571979376431063,788,-0.0022608946435472652,0.047401125662307655,-0.07346072121995802,-0.09755199039371873,-0.07346072121995802,-0.06068387205124237,-0.036749914637138614
high_yield,5439,7.17803452543281e-05,0.0001054062523562008,0.0,-4.308677154538639e-06,0.0,0.0,0.0,788,4.866509346791126e-05,0.0001253739029215992,-5.206814795863934e-05,-0.0001555489304531088,-5.206814795863934e-05,0.0,0.0
ig_credit,5439,0.00020433314316313416,0.0029097465107498833,-0.004687040992500347,-0.006332356805386859,-0.004687040992500347,-0.0033172530561758505,-0.0015605489385026594,788,-3.181044954315382e-05,0.005964828682827472,-0.009967461184176685,-0.013609279605444446,-0.009967461184176685,-0.007157642367235972,-0.0031853191851227702
us_treasuries,5439,5.874494307688676e-05,0.0035672944197610657,-0.005960030518541348,-0.007675114410867101,-0.005960030518541348,-0.00433641923635033,-0.0021177667415441803,788,0.0005231984013541312,0.006965505095525723,-0.011585081278646037,-0.014609957890411196,-0.011585081278646037,-0.0086761364633265,-0.003234815085551457
world_equities,5439,0.0007649367405619218,0.006846713819773581,-0.0109643585390355,-0.014543123587354552,-0.0109643585390355,-0.007853381319615592,-0.0032661103749345166,788,-0.0031884299226571456,0.02232725750405779,-0.036422641799751874,-0.05106396818169119,-0.036422641799751874,-0.027536495721682284,-0.017051970312507825
