date,p_0,p_1
2000-10-31,0.00968254116497931,0.9903174588350195
2000-11-30,0.02209281273516191,0.9779071872648389
2000-12-29,6.58349230588291e-08,0.999999934165077
2001-01-16,0.972431800446393,0.02756819955360546
2001-01-17,0.9436487672969837,0.05635123270301565
2001-01-18,0.9293133813302324,0.0706866186697663
2001-01-19,0.9722120397641841,0.02778796023581612
2001-01-22,0.4241703260470007,0.5758296739530008
2001-01-23,0.9469791930107498,0.05302080698924847
2001-01-24,0.6961405622139701,0.3038594377860304
2001-01-25,0.9606307851003807,0.039369214899620565
2001-01-26,0.9730980144857516,0.02690198551424809
2001-01-29,0.9743445395174759,0.025655460482523172
2001-01-30,0.9568836566738236,0.04311634332617737
2001-01-31,0.9445583933208781,0.055441606679122686
2001-02-02,0.45706171391175615,0.5429382860882435
2001-02-05,0.9553252540239741,0.04467474597602446
2001-02-06,0.9451251386581607,0.05487486134183777
2001-02-07,0.9506660131008607,0.04933398689913917
2001-02-08,0.9274251358355985,0.07257486416440016
2001-02-09,0.8577715084350662,0.14222849156493245
2001-02-12,0.9339625628020528,0.0660374371979463
2001-02-13,0.9610367120741123,0.03896328792588677
2001-02-14,0.9643709999830168,0.03562900001698183
2001-02-15,0.9467352944992143,0.05326470550078619
2001-02-16,0.1798047718208766,0.8201952281791225
2001-02-20,0.8709682870675206,0.1290317129324804
2001-02-21,0.7618367356536169,0.23816326434638407
2001-02-22,0.8736660581267598,0.1263339418732401
2001-02-23,0.7392182673472043,0.26078173265279636
2001-02-26,0.2689007266113967,0.731099273388605
2001-02-27,0.9285570026804892,0.07144299731951066
2001-02-28,0.9244222653192935,0.07557773468070492
2001-03-01,0.9470942571679487,0.05290574283204987
2001-03-02,0.9526614111438552,0.047338588856144975
2001-03-05,0.9408226030964705,0.05917739690352947
2001-03-06,0.8210753623737201,0.1789246376262802
2001-03-07,0.9673918209877755,0.03260817901222334
2001-03-08,0.24384497994564,0.7561550200543584
2001-03-09,0.6850836427830361,0.31491635721696465
2001-03-12,5.6286571259179605e-05,0.9999437134287424
2001-03-13,0.9540348370618024,0.04596516293819648
2001-03-14,0.18580157913118847,0.814198420868811
2001-03-15,0.6924091473018928,0.30759085269810693
2001-03-16,0.22227335191143413,0.7777266480885668
2001-03-19,0.9478363303516303,0.05216366964837079
2001-03-20,0.9464283855819507,0.053571614418048565
2001-03-21,0.9008815489604216,0.09911845103957867
2001-03-22,0.16395833644395125,0.8360416635560491
2001-03-23,0.0453472727584517,0.9546527272415468
2001-03-26,0.1462431115373485,0.853756888462651
2001-03-27,0.05596387156477222,0.9440361284352294
2001-03-28,0.5344211405057703,0.46557885949423083
2001-03-29,0.9436919154734876,0.05630808452651331
2001-03-30,0.9586135530673553,0.04138644693264316
2001-04-02,0.9290395845961538,0.07096041540384596
2001-04-03,0.0024855099279515037,0.9975144900720485
2001-04-04,0.87916635170283,0.12083364829716896
2001-04-05,0.0023071041758708083,0.9976928958241301
2001-04-06,0.7395215924734007,0.26047840752659895
2001-04-09,0.9627624874015849,0.03723751259841363
2001-04-10,0.2212574566525808,0.7787425433474208
2001-04-11,0.9650434311319417,0.034956568868059396
2001-04-12,0.9026114033845936,0.0973885966154063
2001-04-16,0.8763392560131142,0.12366074398688512
2001-04-17,0.9486110846041933,0.05138891539580692
2001-04-18,0.002215935168581019,0.9977840648314189
2001-04-19,0.7049967157537755,0.2950032842462241
2001-04-20,0.9266611896585593,0.07333881034143966
2001-04-23,0.7388633129715879,0.2611366870284118
2001-04-26,0.7340719620718323,0.26592803792816666
2001-04-27,0.6094133074568344,0.39058669254316547
2001-04-30,0.9395787108597285,0.06042128914027161
2001-05-01,0.8038031961261272,0.19619680387387226
2001-05-02,0.9654341771061626,0.034565822893837014
2001-05-03,0.4414909372117572,0.5585090627882426
2001-05-04,0.9262522084418586,0.07374779155814197
2001-05-07,0.953787465653336,0.04621253434666481
