regime,mean_abs_diff,max_abs_diff,corr,n_days_compared,dominant_flip_count,dominant_flip_rate,first_flip_dates
p_0,0.04167066605698174,0.9911125830622962,0.9147977513077885,,,,
p_1,0.04047866778975162,0.9999999144930188,0.9170293836318031,,,,
p_2,0.006584652767586491,0.9999999249773462,0.13123639668922094,,,,
_summary_,,,,6227.0,229.0,0.03677533322627268,"2000-10-31,2000-11-30,2000-12-29,2001-01-16,2001-01-17,2001-01-18,2001-01-19,2001-01-22,2001-01-23,2001-01-24"
