mode,kappa_0,n_windows,mean_K,K_stability,mean_drift,dominant_prob_autocorr,mean_BIC,median_Neff_min,implied_prior_weight,mean_prior_coverage,max_regime_age,primary
grand_mean,0.01,80,2.0375,0.9367088607594937,0.0010421488653220836,0.3565843627648769,59352.62550744903,204.32992979933147,4.893806124833423e-05,0.0,1,False
grand_mean,29.9,80,2.075,0.8987341772151899,0.0008662519227066532,0.16157884766575348,59353.08396698369,196.7397506108053,0.13192743073277316,0.0,1,False
grand_mean,63.1,80,2.0875,0.8987341772151899,0.0006638379835495073,0.15346157440240576,59354.5931594039,202.49962263360794,0.23757563875399712,0.0,1,True
grand_mean,100.2,80,2.0875,0.8987341772151899,0.0005551123188291328,0.1547211561257748,59354.10863807339,204.5243012535972,0.32882182217758765,0.0,1,False
grand_mean,189.3,80,2.075,0.8734177215189873,0.00045595543482163174,0.15357615114994488,59351.72416599237,202.29378512809873,0.48340910195517,0.0,1,False
grand_mean,568.0,80,2.0625,0.8987341772151899,0.0002982953718322373,0.15358975604212363,59346.86349663426,197.9967112650361,0.7415175439356045,0.0,1,False
previous_epoch,0.01,80,2.0375,0.9367088607594937,0.0010421410923386594,0.3565874342000419,59352.62517684254,204.32949414229773,4.8938165585533896e-05,0.9791666666666667,80,False
previous_epoch,29.9,80,2.0875,0.8987341772151899,0.000999927971387736,0.17328365338684504,59353.04051609114,199.02705384275674,0.13060929015640688,0.9708333333333334,80,False
previous_epoch,63.1,80,2.0875,0.8987341772151899,0.0009673670791150464,0.17754019045130115,59351.81950018037,198.29734346059547,0.24139495514617595,0.9708333333333334,80,True
previous_epoch,100.2,80,2.0875,0.8987341772151899,0.0009715936000195321,0.1613624049196074,59350.92874623649,195.05546537895592,0.33936713033032195,0.9708333333333334,80,False
previous_epoch,189.3,80,2.0875,0.8987341772151899,0.000976050520492273,0.15821506953364278,59348.98797680826,203.2995551867427,0.4821706940293352,0.9708333333333334,80,False
previous_epoch,568.0,80,2.0875,0.8734177215189873,0.0006665163979345868,0.15949375424429799,59343.40436486879,200.46539467399774,0.7391354300878569,0.9666666666666668,73,False
previous_epoch_aged,0.01,80,2.0375,0.9367088607594937,0.00103920843529163,0.35676375368570223,59352.62079130767,204.33910359319617,4.893586428403081e-05,0.9791666666666667,80,False
previous_epoch_aged,29.9,80,2.0875,0.8987341772151899,0.0007192011465479822,0.16257176019239436,59340.92009104934,197.9725749215501,0.13121368383314094,0.9708333333333334,80,False
previous_epoch_aged,63.1,80,2.075,0.8987341772151899,0.00044539887438037416,0.15836308955900458,59336.83210250495,201.85632873829832,0.23815245440815605,0.9708333333333334,80,True
previous_epoch_aged,100.2,80,2.0875,0.8734177215189873,0.0003683456150098078,0.16019441224278508,59335.194585327314,200.9061666866873,0.33277299200670973,0.9666666666666668,73,False
previous_epoch_aged,189.3,80,2.0875,0.8734177215189873,0.00016595828049049982,0.15637791723451297,59332.03599462311,200.59149326011027,0.4855196978450395,0.9666666666666668,80,False
previous_epoch_aged,568.0,80,2.075,0.8987341772151899,5.320713650523716e-05,0.1567568741356603,59327.54639730528,200.69591385070947,0.7389137756107713,0.9708333333333334,80,False
