date,p_0,p_1,p_2
2000-10-31,0.22138092644533824,0.027955507262097105,0.7506635662925649
2000-11-30,3.549046437154331e-10,0.11001885763152881,0.8899811420135669
2000-12-29,9.824924016962183e-15,7.502264426284176e-08,0.9999999249773462
2001-01-16,0.00013239951124522183,0.9875035234715771,0.012364077017178352
2001-01-17,0.010003854043351372,0.977424451999979,0.012571693956671222
2001-01-18,5.809835668207886e-07,0.9506174383714867,0.049381980644945644
2001-01-19,0.006423513338786994,0.9826429660870132,0.010933520574198302
2001-01-22,1.8639826168093377e-12,0.602461550593934,0.3975384494042035
2001-01-23,0.02460912161893609,0.9596172608363579,0.01577361754470591
2001-01-24,7.520676197652819e-07,0.790573937168008,0.20942531076437101
2001-01-25,0.00013383738771634553,0.9700109725677601,0.029855190044521706
2001-01-26,0.0017765774416683244,0.9758537016409368,0.02236972091739572
2001-01-29,0.0020335558266706506,0.994839224488635,0.003127219684693257
2001-01-30,2.687561158635631e-07,0.9703150723149856,0.02968465892889991
2001-01-31,8.624468812564891e-07,0.9859639977545749,0.014035139798543983
2001-02-02,0.005507395774787701,0.9158212257341367,0.07867137849107432
2001-02-05,1.3001878344778124e-05,0.9978134977882404,0.002173500333414584
2001-02-06,0.0005389840757857837,0.9532079228387639,0.046253093085449615
2001-02-07,0.0006862884484096107,0.977074051955112,0.022239659596478067
2001-02-08,8.004369942418017e-07,0.9270241565109538,0.07297504305205196
2001-02-09,6.971626190807227e-07,0.9296871411037269,0.0703121617336539
2001-02-12,0.0033544247221322294,0.9766496051765081,0.019995970101359988
2001-02-13,0.00029352058971309316,0.9694754136712971,0.030231065738991005
2001-02-14,6.992489628035265e-05,0.9743825648584813,0.02554751024523903
2001-02-15,0.001794722220210411,0.9712915993915869,0.02691367838820156
2001-02-16,8.77153482785196e-11,0.5707371729085736,0.4292628270037122
2001-02-20,6.140289102542072e-07,0.8823410954240304,0.11765829054706015
2001-02-21,1.797766058110313e-07,0.8414453326224067,0.15855448760098706
2001-02-22,3.2194899895066876e-07,0.9139983275158793,0.08600135053512041
2001-02-23,5.058532032438527e-09,0.8680141001453159,0.13198589479615264
2001-02-26,1.143514207389146e-13,0.5043492710687782,0.49565072893110584
2001-02-27,1.0438317978689924e-05,0.9492953088518828,0.050694252830139314
2001-02-28,0.0004012811015024221,0.9360242063814186,0.06357451251707869
2001-03-01,4.682667827490075e-06,0.9635591707042486,0.03643614662792334
2001-03-02,0.00040117871688327965,0.9631746673159306,0.03642415396718624
2001-03-05,0.00016440048241162967,0.9652395325808056,0.03459606693678331
2001-03-06,0.19470609738202532,0.7334613138638898,0.07183258875408358
2001-03-07,0.0006248907008516362,0.973276533856333,0.026098575442815273
2001-03-08,7.164446076714608e-15,0.6737241712329937,0.3262758287670004
2001-03-09,6.280418023657601e-07,0.7106934207538185,0.2893059512043808
2001-03-12,1.8694637437838302e-14,0.0010968489709943159,0.9989031510289862
2001-03-13,0.00019088907783207495,0.9658466208038263,0.03396249011834028
2001-03-14,2.2496702001851973e-10,0.6181123822136954,0.3818876175613375
2001-03-15,0.07961061232835584,0.8148469439647078,0.10554244370693772
2001-03-16,5.006190761381763e-11,0.25659287859916363,0.7434071213507735
2001-03-19,4.155388694106377e-05,0.9734475693443224,0.026510876768737115
2001-03-20,3.257691151502486e-05,0.9637319366408806,0.03623548644760566
2001-03-21,1.5666333489271824e-05,0.9385437345957941,0.06144059907071788
2001-03-22,6.103861500765924e-11,0.27808061076744706,0.7219193891715138
2001-03-23,0.006083586484403636,0.1759567452720723,0.8179596682435231
2001-03-26,0.054264261383466156,0.41319130514596875,0.5325444334705662
2001-03-27,0.7964804043949631,0.06245786277668178,0.1410617328283561
2001-03-28,2.770483515354606e-10,0.9220935782252515,0.0779064214976988
2001-03-29,8.710738333053333e-06,0.9462994663588487,0.05369182290281855
2001-03-30,0.0002731077245835979,0.9902932888078869,0.009433603467531327
2001-04-02,3.81909170649048e-06,0.9279084086691187,0.07208777223917379
2001-04-03,1.757494178877007e-10,0.07449575046074941,0.925504249363501
2001-04-04,3.463672148948042e-14,0.9512498389628341,0.04875016103713121
2001-04-05,0.06316102067701092,0.02878132812058759,0.908057651202402
2001-04-06,2.4740107544838095e-07,0.9127990504880455,0.08720070211087971
2001-04-09,0.006503927697447291,0.968257491387169,0.025238580915383054
2001-04-10,0.7548224440216554,0.16384737428205917,0.08133018169628668
2001-04-11,0.0031891640119180143,0.9682633630224657,0.028547472965617805
2001-04-12,0.4494271205065711,0.5255540396609967,0.025018839832431857
2001-04-16,0.41429562499468237,0.5680353453377831,0.017669029667533784
2001-04-17,0.4697725075707508,0.5221462346569464,0.008081257772303124
2001-04-18,0.0014371065066729391,0.5117909011238796,0.486771992369449
2001-04-19,0.3465288408775772,0.6149290161689203,0.038542142953503666
2001-04-20,0.451880072072479,0.5298479976728375,0.018271930254683818
2001-04-23,0.36643808073122786,0.5806417220476533,0.05292019722111771
2001-04-24,0.3689219414286072,0.581695840350867,0.04938221822052627
2001-04-25,0.4961401588167955,0.4713913436874319,0.03246849749577214
2001-04-26,0.4053404228837686,0.5357480626994104,0.058911514416820465
2001-04-27,0.2833203217138279,0.6075664718237946,0.10911320646237649
2001-04-30,0.4748318946547674,0.5051658883475287,0.020002216997704724
2001-05-01,0.43516137058549487,0.4979540103738703,0.06688461904063585
2001-05-02,0.47689551245729145,0.5178396425602477,0.005264844982461786
2001-05-03,0.19124268883545453,0.6581464904633625,0.15061082070118273
2001-05-04,0.45712177193869913,0.5265117227293541,0.016366505331946345
2001-05-07,0.46933347166503425,0.5216028841528151,0.00906364418214973
2001-05-08,0.46678764717728183,0.5165693158977275,0.016643036924990005
2001-05-09,0.06865215304741543,0.6033916572059999,0.32795618974658425
2001-05-10,0.4659651044363911,0.516373783308544,0.017661112255064917
2001-05-11,0.44704826033239853,0.5096991576798452,0.04325258198775635
2001-05-14,0.45702874126158827,0.5201598401540262,0.022811418584386314
2001-05-15,0.4788291497103634,0.5067388414005706,0.014432008889066336
2001-05-16,0.23757944397006323,0.5914463149179949,0.1709742411119411
2001-05-17,0.4522711398597604,0.5230523761357179,0.0246764840045208
2001-05-18,0.427568994556232,0.5659030078084185,0.006527997635349566
2001-05-21,0.4531801159897172,0.5349568518634032,0.011863032146880212
2001-05-22,0.3914218166479454,0.5554917280844525,0.05308645526760198
2001-05-23,0.3858440740664907,0.5623723383412165,0.05178358759229236
2001-05-24,0.43863398315126056,0.544959605220425,0.016406411628313997
2001-05-25,0.3057904632884874,0.6310756549029009,0.06313388180861128
2001-05-29,0.454668642094946,0.528955028653389,0.01637632925166442
2001-05-30,0.27462561523566204,0.6072173394417826,0.11815704532255511
2001-05-31,0.4744102666117921,0.5085146843874402,0.01707504900076739
2001-06-01,0.47646212076975897,0.5112226492154155,0.01231523001482451
2001-06-04,0.4760388001257541,0.5145684405712168,0.009392759303030275
2001-06-05,0.4661393381452168,0.5159659087889091,0.01789475306587284
2001-06-06,0.4319129344390372,0.531951634015216,0.03613543154574687
2001-06-07,0.47241256861606057,0.5143923076991819,0.013195123684757714
2001-06-08,0.3377401999424779,0.6167398569274365,0.045519943130086275
2001-06-11,0.41092152705059787,0.553654562250094,0.035423910699307254
2001-06-12,0.4233708383975924,0.5488340442656671,0.027795117336740217
2001-06-13,0.4714363791570871,0.5171963969491535,0.011367223893758544
2001-06-14,0.3114150709833062,0.6161432844109135,0.07244164460578097
2001-06-15,0.457510567424026,0.5352428909460331,0.007246541629940654
2001-06-18,0.4634566767001884,0.5200832885365789,0.016460034763232666
2001-06-19,0.4785448849139787,0.5105421499911827,0.010912965094838455
2001-06-20,0.44457196956768474,0.5548792762641966,0.000548754168117654
2001-06-21,0.4760959379131243,0.5049993016231054,0.018904760463770556
2001-06-22,0.47220529256618615,0.5141978763192563,0.01359683111455831
2001-06-25,0.467444950499407,0.5175881791954875,0.014966870305106487
2001-06-26,0.45726245100509705,0.5230569668561514,0.01968058213875187
2001-06-27,0.46763080666463885,0.5285692526713781,0.0037999406639836674
2001-06-28,0.34470999003273767,0.5971194547734537,0.05817055519380814
2001-06-29,0.4900899109222684,0.5003953583351306,0.00951473074260149
2001-07-02,0.4862474172779261,0.44967322741603544,0.06407935530603973
2001-07-03,0.45876986184142327,0.5218140612956828,0.019416076862893924
2001-07-05,0.4017234001125924,0.5654377862235374,0.03283881366387014
2001-07-06,0.05391600324967107,0.8454611557224025,0.1006228410279278
2001-07-09,0.4767939466800753,0.5135044258774356,0.009701627442489232
2001-07-10,0.44120175619973045,0.5336850024479921,0.025113241352277473
